epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,1836.92,1.19631,0.64915,0.8906,0.77002,0.43898,0.52274,0.25356,1.46434,0.74074,0.88463,0.0004456,0.0004456,0.0004456
58,1868.95,1.19197,0.64818,0.88514,0.79433,0.44901,0.53175,0.2732,1.45255,0.7195,0.88636,0.0004357,0.0004357,0.0004357
59,1901.23,1.20124,0.64546,0.89176,0.77845,0.44254,0.51196,0.26831,1.39674,0.71329,0.86721,0.0004258,0.0004258,0.0004258
60,1933.42,1.20079,0.64872,0.87963,0.7081,0.45006,0.51547,0.2727,1.45724,0.72184,0.88547,0.0004159,0.0004159,0.0004159
61,1965.41,1.20019,0.62752,0.88085,0.65208,0.4548,0.50882,0.26086,1.45892,0.72526,0.88566,0.000406,0.000406,0.000406
62,1997.79,1.19593,0.6353,0.88092,0.81777,0.41623,0.51053,0.26693,1.42061,0.71272,0.87785,0.0003961,0.0003961,0.0003961
63,2030.29,1.16552,0.6289,0.88229,0.79278,0.43898,0.52208,0.27039,1.4189,0.7111,0.88055,0.0003862,0.0003862,0.0003862
64,2063.16,1.1566,0.61951,0.87802,0.79675,0.44951,0.51441,0.27485,1.4013,0.69899,0.87018,0.0003763,0.0003763,0.0003763
65,2095.81,1.16647,0.60804,0.88603,0.72812,0.471,0.52902,0.26474,1.47804,0.71928,0.8889,0.0003664,0.0003664,0.0003664
66,2128.06,1.19054,0.62676,0.88579,0.8102,0.44399,0.52675,0.27086,1.41491,0.68946,0.87517,0.0003565,0.0003565,0.0003565
67,2160.3,1.17455,0.62934,0.88408,0.72087,0.46549,0.53484,0.26987,1.44139,0.69725,0.88385,0.0003466,0.0003466,0.0003466
68,2192.95,1.19361,0.62974,0.89435,0.68993,0.44931,0.51103,0.2644,1.4401,0.68818,0.8821,0.0003367,0.0003367,0.0003367
69,2225.05,1.12273,0.59923,0.8732,0.72509,0.44706,0.51408,0.26647,1.40432,0.69753,0.87193,0.0003268,0.0003268,0.0003268
70,2257.03,1.14644,0.6143,0.8842,0.78407,0.44094,0.5317,0.27328,1.37817,0.68195,0.86832,0.0003169,0.0003169,0.0003169
71,2289.15,1.18218,0.61364,0.88092,0.74357,0.45748,0.52919,0.27299,1.37908,0.688,0.87082,0.000307,0.000307,0.000307
72,2321.3,1.16341,0.61423,0.87464,0.85213,0.45154,0.52856,0.26934,1.43023,0.69306,0.87693,0.0002971,0.0002971,0.0002971
73,2353.39,1.1479,0.60298,0.88177,0.81224,0.42514,0.51259,0.27418,1.4373,0.72421,0.87904,0.0002872,0.0002872,0.0002872
74,2385.56,1.15051,0.60792,0.87914,0.8235,0.44919,0.51616,0.26268,1.43303,0.71079,0.87693,0.0002773,0.0002773,0.0002773
75,2417.66,1.1313,0.59262,0.88636,0.74289,0.45151,0.5156,0.26877,1.43178,0.69479,0.87824,0.0002674,0.0002674,0.0002674
76,2451.6,1.10848,0.588,0.87884,0.6924,0.47629,0.51985,0.27299,1.40887,0.70356,0.87561,0.0002575,0.0002575,0.0002575
77,2483.73,1.1358,0.59866,0.87455,0.82747,0.44793,0.52134,0.26975,1.42764,0.70729,0.88032,0.0002476,0.0002476,0.0002476
78,2515.53,1.09855,0.58513,0.87288,0.79106,0.45871,0.53642,0.28169,1.41371,0.68662,0.87817,0.0002377,0.0002377,0.0002377
79,2547.58,1.11815,0.58696,0.87347,0.77766,0.4545,0.52508,0.2698,1.44884,0.70442,0.88393,0.0002278,0.0002278,0.0002278
80,2579.83,1.13897,0.61153,0.88013,0.70342,0.47552,0.52703,0.27648,1.35546,0.67089,0.86799,0.0002179,0.0002179,0.0002179
81,2611.93,1.13393,0.59314,0.88004,0.73713,0.47849,0.53507,0.27163,1.46068,0.70631,0.8825,0.000208,0.000208,0.000208
