epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,3029.11,1.12451,0.57877,0.84824,0.78452,0.47335,0.53693,0.31231,1.13376,0.57993,0.84454,0.0001387,0.0001387,0.0001387
89,3071.53,1.08394,0.55949,0.86149,0.76333,0.49199,0.53834,0.31102,1.14481,0.59365,0.84609,0.0001288,0.0001288,0.0001288
90,3113.5,1.12435,0.58457,0.84843,0.759,0.48321,0.5365,0.31433,1.12867,0.59341,0.84353,0.0001189,0.0001189,0.0001189
91,3155.27,1.03324,0.52733,0.81632,0.71502,0.49928,0.5349,0.30924,1.1517,0.595,0.8463,0.000109,0.000109,0.000109
92,3199.65,1.05882,0.52541,0.81765,0.71043,0.51518,0.52923,0.31141,1.13819,0.58843,0.84564,9.91e-05,9.91e-05,9.91e-05
93,3243.36,1.02512,0.50915,0.82315,0.71781,0.49759,0.53343,0.31773,1.14857,0.5896,0.84686,8.92e-05,8.92e-05,8.92e-05
94,3285.1,0.99944,0.49364,0.81623,0.70642,0.50549,0.53152,0.3112,1.16573,0.59635,0.84834,7.93e-05,7.93e-05,7.93e-05
95,3326.27,0.99945,0.50411,0.82576,0.75539,0.47616,0.53726,0.31347,1.12783,0.58062,0.84544,6.94e-05,6.94e-05,6.94e-05
96,3362.18,1.00077,0.50336,0.81523,0.72023,0.50584,0.53562,0.31762,1.13771,0.58405,0.84582,5.95e-05,5.95e-05,5.95e-05
97,3394.43,1.01182,0.50874,0.82539,0.71635,0.49594,0.53029,0.31526,1.14787,0.58349,0.84664,4.96e-05,4.96e-05,4.96e-05
98,3426.51,0.98537,0.48385,0.82352,0.7158,0.4899,0.53496,0.31556,1.14325,0.57849,0.84593,3.97e-05,3.97e-05,3.97e-05
99,3458.5,1.00368,0.49928,0.8202,0.75797,0.48055,0.53724,0.31663,1.14113,0.57894,0.84573,2.98e-05,2.98e-05,2.98e-05
100,3492.83,1.0121,0.51764,0.8159,0.77076,0.48187,0.53524,0.3135,1.14038,0.5785,0.84569,1.99e-05,1.99e-05,1.99e-05
